"Day ","Items ","Note ","Amount "
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","204"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"82","Human Resource Expense","Counselled","2000"
"82","Human Resource Expense","Counselled","2000"
"82","Human Resource Expense","Counselled","2000"
"82","Human Resource Expense","Counselled","2000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"82","Salary Expense","Cash Payment - Salary Expense","32780"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12087","126"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12101","123"
"82","Shipping Expense","Cash Payment - Move Stock ID: 11815","47523"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"82","Rental Expense","Cash Payment - Rental - Miami","1800"
"82","Rental Expense","Cash Payment - Rental - New York","1340"
"82","Rental Expense","Cash Payment - Rental - Detroit","500"
"82","Rental Expense","Cash Payment - Rental - Chicago","740"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"81","Salary Expense","Cash Payment - Salary Expense","32308"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11907","103"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11925","141"
"81","Shipping Expense","Cash Payment - Move Stock ID: 11698","24792"
"81","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 8671","3300"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"81","Rental Expense","Cash Payment - Rental - Miami","1800"
"81","Rental Expense","Cash Payment - Rental - New York","1340"
"81","Rental Expense","Cash Payment - Rental - Detroit","500"
"81","Rental Expense","Cash Payment - Rental - Chicago","740"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"80","Salary Expense","Cash Payment - Salary Expense","31332"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11753","56"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11767","59"
"80","Shipping Expense","Cash Payment - Move Stock ID: 11546","94960"
"80","Shipping Expense","Cash Payment - Move Stock ID: 11699","57160"
"80","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 8637","3300"
"80","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"80","Rental Expense","Cash Payment - Rental - Miami","1800"
"80","Rental Expense","Cash Payment - Rental - New York","1340"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","135"
"80","Rental Expense","Cash Payment - Rental - Detroit","500"
"80","Rental Expense","Cash Payment - Rental - Chicago","740"
"80","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"79","Human Resource Expense","Counselled","2000"
"79","Human Resource Expense","Counselled","2000"
"79","Human Resource Expense","Counselled","2000"
"79","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"79","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1200"
"79","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1200"
"79","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1200"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"79","Salary Expense","Cash Payment - Salary Expense","31332"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10739","121"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11097","152"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11582","22"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11597","97"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11607","100"
"79","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"79","Rental Expense","Cash Payment - Rental - Miami","1800"
"79","Rental Expense","Cash Payment - Rental - New York","1340"
"79","Rental Expense","Cash Payment - Rental - Detroit","500"
"79","Rental Expense","Cash Payment - Rental - Chicago","740"
"79","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"78","Human Resource Expense","Counselled","2000"
"78","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"78","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1200"
"78","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1200"
"78","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1200"
"78","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"78","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"78","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"78","Salary Expense","Cash Payment - Salary Expense","31332"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11413","118"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11430","139"
"78","Shipping Expense","Cash Payment - Move Stock ID: 11342","65888"
